,Ciudad,Dueño,Nivel,Alianza,Isla,xCoord,yCoord
1676,o__o,Richard Feynman,4,-LR-,Laereios,51,58
1677,Uşak,Tangerine,8,-MaF-,Laereios,51,58
1678,VINO,El Paisa,8,CZD,Laereios,51,58
1679,Rynn,Nisov,11,-MaF-,Laereios,51,58
1680,Polis,Peleus-6219,1,None,Laereios,51,58
1683,Alf city,GTxNiky,3,None,Denaos,52,57
1684,Colonia Azufre,Vlady,2,GoW,Denaos,52,57
1685,El Virgen,Peleus-6219,10,None,Denaos,52,57
1686,Polis,Albertorogo,3,None,Denaos,52,57
1687,Weedpolis,Miguii,3,None,Denaos,52,57
1688,Polis,black332,4,VKO,Denaos,52,57
1689,Polis,Pulmonia,1,-CB-,Denaos,52,57
1692,Efesto,wowpato,7,-LR-,Denaos,52,57
1693,Júpiter,bodjsecivar,6,TIBUR,Denaos,52,57
1694,Sochi,Pepelake,6,-LR-,Denaos,52,57
1695,Avalon,Belisario,6,-A-,Denaos,52,57
1697,Polis,Gengis Kan,1,-MaF-,Denaos,52,57
1698,Leira,Leira,7,-LR-,Denaos,52,57
1700,Kithocripholis,Tydeus-5704,5,None,Quaoos,52,58
1701,Polis,You lose,5,CZD,Quaoos,52,58
1702,Polis,lalo,5,None,Quaoos,52,58
1703,Polis,holandes,7,None,Quaoos,52,58
1704,Cattler,Miku Cat,7,None,Quaoos,52,58
1705,Polis,Theseus-5069,6,None,Quaoos,52,58
1706,Polis,Trismegisto H,1,Bro,Quaoos,52,58
1707,Cristal1,Nisov,6,-MaF-,Quaoos,52,58
1708,Edime,Tangerine,7,-MaF-,Quaoos,52,58
1709,Kribton,Talaya,2,None,Quaoos,52,58
1710,Sparta,albertgamer,4,None,Quaoos,52,58
1711,IMPERIUS,dom,9,LVT,Quaoos,52,58
1712,Polis,fmorillo01,1,None,Quaoos,52,58
1713,Los Pario I,black332,8,VKO,Quaoos,52,58
1714,Pollointeligent,Don pablo,2,None,Quaoos,52,58
1715,cristal,SAITAMA,10,VKO,Quaoos,52,58
1717,PoliAzufre,eslaifer,5,TIBUR,Gihios,51,59
1718,Karkemish,Larivan,9,ESG,Gihios,51,59
1719,ORENSE,TRAJANO,6,TIBUR,Gihios,51,59
1720,Troya,tomori,4,-LR-,Gihios,51,59
1721,Fuego,Nisov,9,-MaF-,Gihios,51,59
1722,Polis,Fabinho,6,ESG,Gihios,51,59
1723,Cocaland,2baker7,8,ESG,Gihios,51,59
1725,Adiós amigos,Jumer,9,-MaF-,Gihios,51,59
1730,Mikiazufre,mikipetas3,7,TIBUR,Gihios,51,59
1731,Polis,Prometheus-9620,1,None,Gihios,51,59
1732,Polis,Toteles,2,None,Gihios,51,59
1734,Marmulus,trajanus,14,-MaF-,Danaios,52,59
1735,Polis,TutorialesXpro,5,None,Danaios,52,59
1736,Polis,Nisov,10,-MaF-,Danaios,52,59
1737,Viña Mujica,PIKARIAM,11,-NP-,Danaios,52,59
1738,Icatta,fmorillo0,11,-MaF-,Danaios,52,59
1739,Polis,lalo,6,None,Danaios,52,59
1740,Marmolito,SuperGiro,10,T-I,Danaios,52,59
1741,La roca,Ag97us,11,LhO,Danaios,52,59
1742,Prometeo,Prometheus-9620,8,None,Danaios,52,59
1743,Garachico,ItsReiKo,9,None,Danaios,52,59
1744,Lanus,yosolo,2,None,Danaios,52,59
1745,Kretta,fmorillo0,10,-MaF-,Danaios,52,59
1746,Moscu,Pepelake,9,-LR-,Danaios,52,59
1747,corinto,dolexs89,5,-EE-,Danaios,52,59
1748,Polis,ElBilly,9,JPS,Danaios,52,59
1749,marmol,SAITAMA,10,VKO,Danaios,52,59
1751,Roca,Melix,10,LhO,Engatia,53,56
1752,Leira-2,Leira,7,-LR-,Engatia,53,56
1753,marmolex2,chaparra,4,None,Engatia,53,56
1754,-BAYO-,ManuelGibra,12,xVx,Engatia,53,56
1755,Erebor,StOn3,13,-CB-,Engatia,53,56
1756,Itachi,tomori,7,-LR-,Engatia,53,56
1757,2Marmol,Terim,12,xVx,Engatia,53,56
1758,Resonancia,Gardios,10,-CB-,Engatia,53,56
1759,Montagut,Torn,12,-HK-,Engatia,53,56
1760,Corona,Andry,4,None,Engatia,53,56
1761,Marmol 1,Sara,12,-CB-,Engatia,53,56
1762,Tartessos,vicrogo,5,T-I,Engatia,53,56
1763,Polis,Talaya,7,None,Engatia,53,56
1764,Tierra helada,Gardios,9,-CB-,Engatia,53,56
1765,3Marmol,Terim,11,xVx,Engatia,53,56
1766,ANIKILATOR,carlitos94,9,-MaF-,Engatia,53,56
1768,Caos,Greed,10,T-I,Brewios,53,57
1769,Vinito,SuperGiro,8,T-I,Brewios,53,57
1770,Polis,zoo,9,None,Brewios,53,57
1771,san cristobal,Orpheus-7747,9,VKO,Brewios,53,57
1772,Aziz4,Zyzz,7,LhO,Brewios,53,57
1773,Polis,Anthonygs,7,xVx,Brewios,53,57
1774,TheWindThrone,Fynhx,13,HDP,Brewios,53,57
1775,BAVIERA,ILLUMINATI,11,CZD,Brewios,53,57
1776,Vino Coloso,Speedelman,7,None,Brewios,53,57
1777,Vid_Fortress,lol_Calamba_lol,13,-MaF-,Brewios,53,57
1778,Polis,Theseus-5069,4,None,Brewios,53,57
1779,Vino,Carlos,10,None,Brewios,53,57
1780,Ibirapità,el Polilla,8,None,Brewios,53,57
1781,Almargen,Talaya,6,None,Brewios,53,57
1782,Polis,CDanielCM,9,LhO,Brewios,53,57
1783,Va bene,GiovanniPaolo,10,LhO,Brewios,53,57
1785,Sulfure,Odysseus-,10,LhO,Jieliios,54,57
1786,sun1,NNN,10,None,Jieliios,54,57
1787,Polis,Rosanna,6,None,Jieliios,54,57
1788,Polis,Gorod49,5,None,Jieliios,54,57
1789,Aziz2,Zyzz,11,LhO,Jieliios,54,57
1790,AZUFRE,Golden Gear,13,-CB-,Jieliios,54,57
1791,Fourpolis,Aldo,14,-CB-,Jieliios,54,57
1792,Risparmiare,GiovanniPaolo,10,LhO,Jieliios,54,57
1793,A-HEFESTO,-PoSElDoN-,13,-CB-,Jieliios,54,57
1794,Te queroum I,Linthucillo,8,PTN,Jieliios,54,57
1795,Black Hand Inn,Pulmonia,12,-CB-,Jieliios,54,57
1796,Trueno Lho,Laertix,12,LhO,Jieliios,54,57
1797,sulfurico,alsinaa,5,-NP-,Jieliios,54,57
1798,CÓRDOBA,carlitos94,10,-MaF-,Jieliios,54,57
1799,Aziz3,Zyzz,10,LhO,Jieliios,54,57
1800,Pa Ñery,Ag97us,11,LhO,Jieliios,54,57
1801,P06,karlitos,15,-CB-,Jieliios,54,57
1802,Polis,Orpheus-7747,9,VKO,Hazios,54,56
1804,Polis,sotox,2,None,Hazios,54,56
1806,Afganistan,Pata56,5,None,Hazios,54,56
1807,Polis,Adonis-0322,8,-LR-,Hazios,54,56
1808,Gallo,Andry,4,None,Hazios,54,56
1809,JOSELITO1,Agamemnon-4583,2,None,Hazios,54,56
1810,Polis,Prometheus-9623,4,None,Hazios,54,56
1812,Polis,Juan-199,2,None,Hazios,54,56
1813,Polis,Sara,1,-CB-,Hazios,54,56
1815,Saransk,Pepelake,8,-LR-,Hazios,54,56
1819,Aogiri,Rexiih,5,None,Niseos,55,54
1820,Marmol,Dun Dun,8,-REV-,Niseos,55,54
1821,Chapange,Juan Rangel,11,-RR-,Niseos,55,54
1822,RMD,Anthonygs,12,xVx,Niseos,55,54
1823,Α Canis Maioris,Sirius Black,13,VDE,Niseos,55,54
1824,μάρμαρο,Earles,10,VDE,Niseos,55,54
1825,Atleti,jamthebest,11,-MaF-,Niseos,55,54
1826,Reino Piedra,Nicronts,10,VDE,Niseos,55,54
1827,Nueva Deli,Cristoperro,6,None,Niseos,55,54
1828,Doton,Kasiopea,10,300,Niseos,55,54
1829,Megara,CastorIV,9,VDE,Niseos,55,54
1830,Canteiro,Xanatos72,10,None,Niseos,55,54
1831,Poblo Vorón,Jumer,14,-MaF-,Niseos,55,54
1832,Cantero,Cobress,10,None,Niseos,55,54
1833,Solomillo,Dobby10,7,None,Niseos,55,54
1834,Polonia,Trota,6,None,Niseos,55,54
1836,Armada bizantin,wolfteam11,15,-NP-,Timeos,56,54
1837,Black Desert,Ghoul,8,VDE,Timeos,56,54
1838,Gonzatrópolis,datil,3,None,Timeos,56,54
1839,Azufrepolis,javiblanco,7,300,Timeos,56,54
1840,Polis,Dobby10,2,None,Timeos,56,54
1841,Polvora,Juan Rangel,4,-RR-,Timeos,56,54
1842,Betelgeuse,Sirius Black,6,VDE,Timeos,56,54
1843,SPJR,HPCortijo,8,xVx,Timeos,56,54
1844,Drogon,Dasumi,3,None,Timeos,56,54
1845,Reino hoplita,Nicronts,10,VDE,Timeos,56,54
1846,Winterfell,Dani,10,300,Timeos,56,54
1847,Fuhrer Cattler,Miku Cat,4,None,Timeos,56,54
1848,Polis,LeonidasL,2,None,Timeos,56,54
1849,Maspalomas,Noelia,7,VDE,Timeos,56,54
1850,Vulca,Cobress,4,None,Timeos,56,54
1851,Esparta,victordueas,5,None,Timeos,56,54
1853,Tartaro,Lucifer,10,None,Enthatia,55,53
1854,Polis,Pollux-5230,1,None,Enthatia,55,53
1855,Choloman,Chichibukai,4,VDE,Enthatia,55,53
1856,UY Scuti,Sirius Black,8,VDE,Enthatia,55,53
1857,Gula,Virus Dangerous,6,None,Enthatia,55,53
1858,esparta,lascano,11,None,Enthatia,55,53
1859,Silvermoon,Alicer,4,None,Enthatia,55,53
1860,Alas,Beam,10,-MaF-,Enthatia,55,53
1861,Eujen,Soulix,11,LhO,Enthatia,55,53
1862,SPSO,HPCortijo,11,xVx,Enthatia,55,53
1863,Pisco,GianfrancoMR,9,xVx,Enthatia,55,53
1864,BZPAC,Rey Galan,10,IMP-V,Enthatia,55,53
1865,Polis,Pollux-1543,1,None,Enthatia,55,53
1866,Toontown,Ushuaïa,14,xVx,Enthatia,55,53
1867,κρασί,Earles,10,VDE,Enthatia,55,53
1868,Polis,jamthebest,1,-MaF-,Enthatia,55,53
1870,SPJC,HPCortijo,11,xVx,Veraos,56,53
1871,Polis,Icarus-2946,1,None,Veraos,56,53
1872,Cartagena,M3rino,11,TGC,Veraos,56,53
1873,Sheldonopolis,antoniojmm1296,6,None,Veraos,56,53
1874,Cityofgod,HitmaN,6,None,Veraos,56,53
1875,Polis,LeonidasL,4,None,Veraos,56,53
1876,Polimorfismo,Ghostoy,6,None,Veraos,56,53
1877,Delfos,Cristoperro,7,None,Veraos,56,53
1878,Pereza,Virus Dangerous,7,None,Veraos,56,53
1879,Polis,Odysseus-5658,1,None,Veraos,56,53
1880,Cristal,Khan,10,LhO,Veraos,56,53
1881,Terminus,DarkSteban,12,-CB-,Veraos,56,53
1882,cristalpolis,javiblanco,1,300,Veraos,56,53
1883,Penepolis,Bolou,7,None,Veraos,56,53
1884,zgmR,GianfrancoMR,11,xVx,Veraos,56,53
1885,Ciudad Costera,Ushuaïa,12,xVx,Veraos,56,53
1887,Mavick III,Mavick,1,300,Theriaos,55,52
1888,Marmol Delfin I,milford,14,-MaF-,Theriaos,55,52
1889,FCB,Anthonygs,11,xVx,Theriaos,55,52
1890,el desvan,zarpa,10,xVx,Theriaos,55,52
1891,Marmol-1,monje,8,LhO,Theriaos,55,52
1892,Pipicity,Elpipi,5,None,Theriaos,55,52
1893,Polis,HitmaN,4,None,Theriaos,55,52
1894,Polis,titanesdos,7,VKO,Theriaos,55,52
1895,zoo2,zoo,10,None,Theriaos,55,52
1896,Watermelon,Gansu,10,EtB,Theriaos,55,52
1897,BoryaPolis,borya_14,3,None,Theriaos,55,52
1898,Omega,Luftwaffe,11,-MaF-,Theriaos,55,52
1899,rocky,GianfrancoMR,11,xVx,Theriaos,55,52
1900,M Bunk Poseidon,Hisioka,11,-LR-,Theriaos,55,52
1901,Polis,C0Nde,9,None,Theriaos,55,52
1902,InfiernO,Lucifer,11,None,Theriaos,55,52
1904,Droper A,Droper,8,CVK,Essyos,56,52
1905,Polis,DarknesS666,8,T-I,Essyos,56,52
1906,hades,lascano,7,None,Essyos,56,52
1907,Azufre I,Dravy,14,CVK,Essyos,56,52
1908,Karonte,Cristoperro,8,None,Essyos,56,52
1909,Pompeii,vicitox,8,xVx,Essyos,56,52
1910,zoo,zoo,8,None,Essyos,56,52
1911,Pólvora,GianfrancoMR,6,xVx,Essyos,56,52
1912,Polis Rural 3,alonsorural,10,TGC,Essyos,56,52
1913,Ladon,narbona,10,300,Essyos,56,52
1914,Mavick II,Mavick,7,300,Essyos,56,52
1915,Neapolis,mariano632,5,None,Essyos,56,52
1916,penepolis 2,Bolou,6,None,Essyos,56,52
1917,Droper A2,Droper,1,CVK,Essyos,56,52
1918,Escombreras,M3rino,12,TGC,Essyos,56,52
1919,Rodriguezcity,Elpipi,2,None,Essyos,56,52
1921,Polis,Jason-1242,1,None,Acheloos,56,51
1922,Cristalopolis,Ares,8,LhO,Acheloos,56,51
1923,Caracas,KingScorpion,10,-LR-,Acheloos,56,51
1924,Lítica Lho,Laertix,11,LhO,Acheloos,56,51
1925,Cristal,Daxtox,9,None,Acheloos,56,51
1926,cristal,Melix,9,LhO,Acheloos,56,51
1927,El Perla Negra,Ben Beckman,7,LhO,Acheloos,56,51
1928,Polis,bios,3,None,Acheloos,56,51
1929,PHP,Unrealjose,8,LhO,Acheloos,56,51
1930,Andros,Soulix,12,LhO,Acheloos,56,51
1931,Cuarzo,Beam,8,-MaF-,Acheloos,56,51
1932,Lord Pachacutec,Lord Pachacutec,4,None,Acheloos,56,51
1933,Cristal 4 LhO,El Dosinger,11,LhO,Acheloos,56,51
1934,Lurien,Drarrios,12,-LR-,Acheloos,56,51
1935,ποτήρι,Earles,9,VDE,Acheloos,56,51
1936,Polis,RAPIÑOMANO,2,HDP,Acheloos,56,51
1938,Vin1,Jason-2072,7,None,Schilios,57,51
1939,mvpol,Gardios,1,-CB-,Schilios,57,51
1940,Marleca,Lardo,4,None,Schilios,57,51
1941,Matusalem,Rotsen,4,None,Schilios,57,51
1942,Atenas,Leonidas Barceo,3,None,Schilios,57,51
1943,Pumpkin4,Pumpkinmon,10,-NP-,Schilios,57,51
1944,Viñedo,Jooseph,4,None,Schilios,57,51
1945,Larisa,Cristoperro,2,None,Schilios,57,51
1946,Miclions,Lions,10,GOLD,Schilios,57,51
1947,Sobrecarga,Ghostoy,6,None,Schilios,57,51
1948,Macedonia,Leonidas Barceo,7,None,Schilios,57,51
1953,Candelaria,Nightwizz,10,None,Schilios,57,51
1955,Rock Stone,Jdelepiani,11,-LR-,Lutuios,57,52
1956,Argus,Alicer,9,None,Lutuios,57,52
1957,Morat II,XLR14,10,300,Lutuios,57,52
1958,Sonsonate,Chichibukai,4,VDE,Lutuios,57,52
1959,Pumpkin1,Pumpkinmon,11,-NP-,Lutuios,57,52
1960,Symbolia,DarkSteban,13,-CB-,Lutuios,57,52
1961,Oveja,ElGato,10,IMP-V,Lutuios,57,52
1962,El_Limon,Nightwizz,10,None,Lutuios,57,52
1963,Esco m,Lancet07,14,13T,Lutuios,57,52
1964,Envidia,Virus Dangerous,8,None,Lutuios,57,52
1965,Henderson,Mancloud,10,-NP-,Lutuios,57,52
1966,Marmolera II,Dravy,8,CVK,Lutuios,57,52
1967,Marmolera I,Dravy,16,CVK,Lutuios,57,52
1968,Abu Dhabi,CERBERUS,6,None,Lutuios,57,52
1969,Romepolis,mariano632,4,None,Lutuios,57,52
1970,Tulum,Daedalus-5413,8,TGC,Lutuios,57,52
1972,Suiton,Kasiopea,9,300,Aweetia,56,55
1973,FuhrerCattler,Miku Cat,1,None,Aweetia,56,55
1975,Sweetpurple,Ghoul,10,VDE,Aweetia,56,55
1976,Braavos,Valyria,5,None,Aweetia,56,55
1977,Rusia,Trota,2,None,Aweetia,56,55
1978,Pumpkin3,Pumpkinmon,10,-NP-,Aweetia,56,55
1979,Vid,Juan Rangel,8,-RR-,Aweetia,56,55
1980,Polis,mawuy,4,None,Aweetia,56,55
1981,Ares,Xl-Dante-lX,8,FLOR,Aweetia,56,55
1982,Tonterias,Gomoso,4,None,Aweetia,56,55
1983,Curaos,Dani,9,300,Aweetia,56,55
1984,Reino Vid,Nicronts,10,VDE,Aweetia,56,55
1985,ThETinT,Cachorro,5,None,Aweetia,56,55
1986,Aegina,CastorIV,9,VDE,Aweetia,56,55
1987,Salamanca,Noelia,5,VDE,Aweetia,56,55
1989,Zen I,IamZen,5,None,Urnieos,57,55
1990,Cristalopolis,Dani,6,300,Urnieos,57,55
1991,Las Canteras,Noelia,11,VDE,Urnieos,57,55
1992,thE LeaD,Cachorro,5,None,Urnieos,57,55
1993,Abraham,windem,4,None,Urnieos,57,55
1994,Anteiku,Rexiih,5,None,Urnieos,57,55
1995,Polis,cesarLm,1,300,Urnieos,57,55
1996,Yelina,Yelina,5,None,Urnieos,57,55
1997,Polis,Herakles-1909,2,None,Urnieos,57,55
2000,Amsterdam,Peñarol,6,-NP-,Urnieos,57,55
2001,Reino Kristiss,Nicronts,9,VDE,Urnieos,57,55
2004,Dunarien,Duna,7,None,Urnieos,57,55
2006,panteon,wolfteam11,15,-NP-,Soubyos,57,54
2007,partenon,wolfteam11,15,-NP-,Soubyos,57,54
2008,Santa Marta,Juan Rangel,10,-RR-,Soubyos,57,54
2009,atena,lascano,12,None,Soubyos,57,54
2010,MDQ3,Monsicario,4,None,Soubyos,57,54
2011,Fesvam,elendir,8,-LR-,Soubyos,57,54
2012,Chamaguinga,DaFNe,11,CVK,Soubyos,57,54
2013,Lobo Negro I,cesarLm,10,300,Soubyos,57,54
2014,Herencia,Ghostoy,6,None,Soubyos,57,54
2015,Draco,narbona,10,300,Soubyos,57,54
2016,SPZO,HPCortijo,10,xVx,Soubyos,57,54
2017,Malcriado,Gomoso,6,None,Soubyos,57,54
2018,Polis,wolfteam11,14,-NP-,Soubyos,57,54
2019,marleal,terra,5,None,Soubyos,57,54
2020,Mileto,Menelao,8,13T,Soubyos,57,54
2021,Qatar,Pata56,2,None,Soubyos,57,54
2023,Polis,JOrgent,7,300,Zoinios,56,49
2024,Cristal,Severino,11,300,Zoinios,56,49
2025,Mordor,Melkor,10,300,Zoinios,56,49
2026,Decristal,Bentejui,14,300,Zoinios,56,49
2027,Toro,Prometheus-0447,5,None,Zoinios,56,49
2028,JRT-Cristal,Intervención,9,EtB,Zoinios,56,49
2029,Joniwis City,Bioshoke,10,EtB,Zoinios,56,49
2030,Cristalina 2,Pikoroso,8,None,Zoinios,56,49
2031,yUnK ToWn,yUnK,7,LhO,Zoinios,56,49
2032,Polis,Gardios,1,-CB-,Zoinios,56,49
2033,Ibeas 2,Ibeas,11,TGC,Zoinios,56,49
2034,Armeñime,ItsReiKo,3,None,Zoinios,56,49
2035,Polis,Mateu,10,300,Zoinios,56,49
2036,Utha,SirWallace,9,300,Zoinios,56,49
2037,MDQ,Monsicario,7,None,Zoinios,56,49
2038,Cádiz,Yop,1,EtB,Zoinios,56,49
2040,Cristalina,Pikoroso,7,None,Whaefios,56,48
2041,MDQ2,Monsicario,5,None,Whaefios,56,48
2042,Choinistate,Cholesol,9,TGC,Whaefios,56,48
2043,Auxen,TibuTocha,1,TGC,Whaefios,56,48
2044,Deazufre,Bentejui,13,300,Whaefios,56,48
2045,JujuPolis 1,Jujulopolis,5,JUJU,Whaefios,56,48
2046,Sulfur,Blingard,10,300,Whaefios,56,48
2047,Sofrera,Gladieitor,4,TGC,Whaefios,56,48
2048,Chrisbuster,Chrisbuster,7,None,Whaefios,56,48
2049,Sulfix,Nia,7,None,Whaefios,56,48
2050,Choluteca,Misaelo,8,-IL-,Whaefios,56,48
2051,Pascal,Juliá,12,-CB-,Whaefios,56,48
2052,Python,WarK,12,-CB-,Whaefios,56,48
2053,Acracia,Akelay,8,None,Whaefios,56,48
2054,California,SirWallace,9,300,Whaefios,56,48
2055,Zolder,Solder,2,None,Whaefios,56,48
2057,Divino,si hola,9,TGC,Oreatia,57,49
2058,Devino,Bentejui,13,300,Oreatia,57,49
2059,Angmar,Melkor,10,300,Oreatia,57,49
2060,Choiniland,Cholesol,8,TGC,Oreatia,57,49
2061,ATENAS_2_VINO,steven18,10,300,Oreatia,57,49
2062,Poliona Capital,Pol 1r,12,TGC,Oreatia,57,49
2063,Chiclana Front,Yop,10,EtB,Oreatia,57,49
2064,Terror,Gardios,9,-CB-,Oreatia,57,49
2065,Ras al ghul,alonsorural,10,TGC,Oreatia,57,49
2066,Nova Poliona,Pol 1r,12,TGC,Oreatia,57,49
2067,VinosDeMendoza,ANON Y MUS,4,None,Oreatia,57,49
2068,Ubeda,lorenzojd,10,-RR-,Oreatia,57,49
2069,Jumilla,M3rino,12,TGC,Oreatia,57,49
2070,Wine,Blingard,10,300,Oreatia,57,49
2071,Términus,Oliver,12,-CB-,Oreatia,57,49
2072,Alcatraz,Edd Harris,13,TGC,Oreatia,57,49
2074,Marmota,si hola,9,TGC,Schiluios,57,48
2075,NalitisCity,Bioshoke,11,EtB,Schiluios,57,48
2076,Ibeas,Ibeas,12,TGC,Schiluios,57,48
2077,DRAENOR,Prometheus-3168,8,None,Schiluios,57,48
2078,Nova Poliona II,Pol 1r,8,TGC,Schiluios,57,48
2079,León,Titoseraph,9,EtB,Schiluios,57,48
2080,Choilopolis,Cholesol,10,TGC,Schiluios,57,48
2081,VAMOS MI KALISE,Superalumno,11,300,Schiluios,57,48
2082,Elba,Colosus,3,None,Schiluios,57,48
2083,UoWod,TibuTocha,8,TGC,Schiluios,57,48
2084,Polis,M3rino,1,TGC,Schiluios,57,48
2085,Polis,CodeBlocks,12,ZPC,Schiluios,57,48
2086,Ailemaodría,Oterosaxo,10,300,Schiluios,57,48
2087,Tokyo,Pelayo,7,None,Schiluios,57,48
2088,Arizona,SirWallace,9,300,Schiluios,57,48
2089,Roma_production,AMagno,11,-RR-,Schiluios,57,48
2091,toro,Solder,7,None,Sesuios,56,47
2092,Turquia,Ogrimmar,6,-RR-,Sesuios,56,47
2093,yUnK CiTy,yUnK,8,LhO,Sesuios,56,47
2094,Adelinas,Adelinassecret,7,None,Sesuios,56,47
2095,Ventormenta,Amstermist,5,ZPC,Sesuios,56,47
2096,Kings Landing,Alber_2017,10,ZPC,Sesuios,56,47
2097,Castilla,CodeBlocks,9,ZPC,Sesuios,56,47
2098,Strawberry,Gansu,10,EtB,Sesuios,56,47
2099,PucelaRules,sergio,4,None,Sesuios,56,47
2100,Roatan,Misaelo,10,-IL-,Sesuios,56,47
2101,Pto Sta María,BALTASAR,10,EtB,Sesuios,56,47
2102,FRANCIA,aquiles39,5,None,Sesuios,56,47
2103,Baneame esta,Barón VanPollen,7,ZPC,Sesuios,56,47
2104,Baeza,lorenzojd,10,-RR-,Sesuios,56,47
2105,Nevada,SirWallace,6,300,Sesuios,56,47
2106,K Valdevimbre,Ungus,3,EtB,Sesuios,56,47
2108,Roma,Zacarías,11,IMP-V,Sepaios,57,47
2109,JRT,Intervención,11,EtB,Sepaios,57,47
2110,Ronaldinho,Zhadosh,5,EtB,Sepaios,57,47
2111,Ibeas 3,Ibeas,10,TGC,Sepaios,57,47
2112,Babilonia,Link380,7,EtB,Sepaios,57,47
2113,Tangerine,Gansu,9,EtB,Sepaios,57,47
2114,Braavos,Alber_2017,10,ZPC,Sepaios,57,47
2115,Cariwis city,Bioshoke,11,EtB,Sepaios,57,47
2116,Río San Pedro,Yop,11,EtB,Sepaios,57,47
2117,Zion,Blu,7,IMP-V,Sepaios,57,47
2118,Jerez-K,BALTASAR,10,EtB,Sepaios,57,47
2119,Valladolid,Titoseraph,10,EtB,Sepaios,57,47
2120,Talions,Lions,8,GOLD,Sepaios,57,47
2121,Aubarural,Aubameyang17,1,TGC,Sepaios,57,47
2122,K Gador,Ungus,10,EtB,Sepaios,57,47
2123,Xottet,Xottiño,1,None,Sepaios,57,47
2125,K Molinos,Ungus,7,EtB,Verotia,57,46
2126,Aubarural,Aubameyang17,6,TGC,Verotia,57,46
2127,Babilonia,Zacarías,10,IMP-V,Verotia,57,46
2128,Polis Rural,alonsorural,10,TGC,Verotia,57,46
2129,Daytona,Pelayo,10,None,Verotia,57,46
2130,Migjorn,Bislega11,7,None,Verotia,57,46
2131,Cesar Augusta,Gladieitor,5,TGC,Verotia,57,46
2132,Meereen,Alber_2017,8,ZPC,Verotia,57,46
2133,Polis,CodeBlocks,10,ZPC,Verotia,57,46
2134,Sancris,Titoseraph,6,EtB,Verotia,57,46
2135,Barcino,Leon,11,None,Verotia,57,46
2136,Islamejor,yunezrural,7,TGC,Verotia,57,46
2137,Polis,Xottiño,6,None,Verotia,57,46
2138,Conil,BALTASAR,10,EtB,Verotia,57,46
2139,Speculus,CVigilius,8,None,Verotia,57,46
2140,CHAMBEA,BoomShacalaca,9,SZS,Verotia,57,46
2142,Teresopolis,Tereso,7,None,Croicios,56,46
2143,Pitágoras,Juliá,12,-CB-,Croicios,56,46
2144,Cplusplus,WarK,12,-CB-,Croicios,56,46
2145,Ronda,BALTASAR,10,EtB,Croicios,56,46
2146,Queen Kwenthrit,amo la verdura,10,None,Croicios,56,46
2147,Hedeby,amo la verdura,10,None,Croicios,56,46
2148,eGea,CVigilius,10,None,Croicios,56,46
2149,Athina,syra92,6,None,Croicios,56,46
2150,Ohio,Barón VanPollen,7,ZPC,Croicios,56,46
2151,Rasnarok,Amstermist,6,ZPC,Croicios,56,46
2152,Cantera-1,Hagameón,11,-RR-,Croicios,56,46
2153,Ibros,lorenzojd,10,-RR-,Croicios,56,46
2154,JujuPolis 2,Jujulopolis,2,JUJU,Croicios,56,46
2155,Bigotes city,Bioshoke,10,EtB,Croicios,56,46
2156,Neápolis,AMagno,12,-RR-,Croicios,56,46
2157,Detroit,Edd Harris,10,TGC,Croicios,56,46
2159,Paketópolis,Oterosaxo,11,300,Rikios,55,46
2160,Vidriecito,MegaPhantom,9,-REV-,Rikios,55,46
2161,TIRAME DEL DEDO,Superalumno,11,300,Rikios,55,46
2162,Gilneas,Myth-os,14,-CB-,Rikios,55,46
2163,Fuck da Polis,Srgabriz,7,None,Rikios,55,46
2164,Mineroll,Swone,5,-REV-,Rikios,55,46
2165,Poisson,Juliá,12,-CB-,Rikios,55,46
2166,Ketakoh,Tydeus-9760,5,None,Rikios,55,46
2167,Venezia,vicitox,2,xVx,Rikios,55,46
2168,Erlendur,amo la verdura,9,None,Rikios,55,46
2169,OterosaxoViejo,Yatusabes,11,300,Rikios,55,46
2170,Ruby,WarK,12,-CB-,Rikios,55,46
2171,Glass,Blingard,9,300,Rikios,55,46
2172,Aymami,GlixUx,5,300,Rikios,55,46
2173,Kategath,Wainsnow,5,None,Rikios,55,46
2174,Cristal,Morte,8,LhO,Rikios,55,46
2176,Sachaca,Felony,8,-RR-,Onaios,55,45
2177,Condado de Llau,hoplitastur,5,SZS,Onaios,55,45
2178,Trujillo,-LuckY-,3,LhO,Onaios,55,45
2179,Witchill,Piculin,8,None,Onaios,55,45
2180,Lete A,TaKaTin,6,-RR-,Onaios,55,45
2181,Posok,GlixUx,8,300,Onaios,55,45
2182,Gotta,Inrrish,6,TGC,Onaios,55,45
2183,Polis,mew3t,1,-CB-,Onaios,55,45
2184,Alcora,Kirian,9,None,Onaios,55,45
2185,Stormgarde,Myth-os,14,-CB-,Onaios,55,45
2186,Cimbrelopolis,Invocadori,8,-REV-,Onaios,55,45
2187,Teopolis,Colosus,7,None,Onaios,55,45
2188,Polis,ElAdri1999,3,None,Onaios,55,45
2189,Midgar,Barón VanPollen,1,ZPC,Onaios,55,45
2190,Desembarco,-INVENCIBLE-,11,None,Onaios,55,45
2191,Polis,ElAlesi,10,-RR-,Onaios,55,45
2193,Polis,polifacetico,4,None,Revios,56,45
2194,El soto,Titoseraph,7,EtB,Revios,56,45
2195,Kings Landing,MrVictikor,14,-CB-,Revios,56,45
